group	Accession	Source Database	Name	Tax ID	Genus	Species	Other	Length
PhoU	B8HSX5	unreviewed	Phosphate-specific transport system accessory protein PhoU	395961	Cyanothece	sp.	(strain PCC 7425 / ATCC 29141)	218
PhoU	A0A1Q7YVI0	unreviewed	Phosphate-specific transport system accessory protein PhoU	1805101	Cyanobacteria	bacterium	13_1_40CM_2_61_4	230
PhoU	A0A165XRA3	unreviewed	Phosphate-specific transport system accessory protein PhoU	33936	Aeribacillus	pallidus	NA	217
PhoU	A0A935DYY3	unreviewed	Phosphate-specific transport system accessory protein PhoU	2073117	Anaerolineales	bacterium	NA	229
PhoU	A0A948ZSH0	unreviewed	Phosphate-specific transport system accessory protein PhoU	2026780	Planctomycetota	bacterium	NA	214
PhoU	A0A0F7PAS3	unreviewed	Phosphate-specific transport system accessory protein PhoU	1604004	Halanaeroarchaeum	sulfurireducens	NA	226
PhoU	A0A6M8VKT0	unreviewed	Phosphate-specific transport system accessory protein PhoU	1977087	Pseudomonadota	bacterium	NA	241
PhoU	A0A2N2PHX8	unreviewed	Phosphate-specific transport system accessory protein PhoU	2013722	candidate	division	BRC1 bacterium HGW-BRC1-1	220
PhoU	A0A5E4IF53	unreviewed	PhoU domain-containing protein	115547	Uncultured	archaeon	NA	362
PhoU	A0A3B0S6T5	unreviewed	PhoU domain-containing protein	652676	hydrothermal	vent	metagenome	224
PhoU	E4PRQ2	unreviewed	Phosphate-specific transport system accessory protein PhoU	225937	Marinobacter	adhaerens	(strain DSM 23420 / HP15)	245
PhoU	A0A2D3W473	unreviewed	PhoU domain-containing protein	2015904	Sulfurospirillum	sp.	UBA11407	223
PhoU	A0A6J6HKH1	unreviewed	PhoU domain-containing protein	449393	freshwater	metagenome	NA	217
PhoU	A0A918KPL0	unreviewed	Phosphate-specific transport system accessory protein PhoU	1220491	Litorimonas	cladophorae	NA	241
PhoU	A0A962R6B5	unreviewed	PhoU domain-containing protein	1913989	Gammaproteobacteria	bacterium	NA	362
PhoU	A0A923MGY5	unreviewed	Phosphate-specific transport system accessory protein PhoU	2763042	Dysosmobacter	segnis	NA	218
PhoU	A0A950HWR0	unreviewed	Phosphate-specific transport system accessory protein PhoU	2021371	Methylobacteriaceae	bacterium	NA	248
PhoU	A0A5Q3LBZ8	unreviewed	Phosphate-specific transport system accessory protein PhoU	2603660	Planctomycetales	bacterium	10988	235
PhoU	A0A957WBC0	unreviewed	Phosphate-specific transport system accessory protein PhoU	2052143	Anaerolineae	bacterium	NA	221
PhoU	I6Z9P3	unreviewed	Phosphate-specific transport system accessory protein PhoU	1191523	Melioribacter	roseus	(strain JCM 17771 / P3M-2)	231
PhoU	A0A8J7Y140	unreviewed	PhoU domain-containing protein	2747605	Theionarchaea	archaeon	NA	138
PhoU	A0A0R2Q2U1	unreviewed	Phosphate-specific transport system accessory protein PhoU	1655566	Acidimicrobium	sp.	BACL19 MAG-120924-bin39	239
PhoU	A0A6N6Z806	unreviewed	Phosphate-specific transport system accessory protein PhoU	2508868	Puniceicoccaceae	bacterium	5H	249
PhoU	A0A8J3WK30	unreviewed	Phosphate-specific transport system accessory protein PhoU	936338	Planobispora	siamensis	NA	225
PhoU	A0A7H9EL52	unreviewed	Phosphate-specific transport system accessory protein PhoU	228229	Ligilactobacillus	saerimneri	NA	223
PhoU	A0A9E2BMA5	unreviewed	Phosphate-specific transport system accessory protein PhoU	1898207	Clostridiales	bacterium	NA	220
PhoU	A0A1S1VB29	unreviewed	Phosphate-specific transport system accessory protein PhoU	39480	Andreesenia	angusta	NA	214
PhoU	A0A1C6CA40	unreviewed	Phosphate-specific transport system accessory protein PhoU	59620	uncultured	Clostridium	sp.	218
PhoU	A0A1H1X3X4	unreviewed	Phosphate-specific transport system accessory protein PhoU	642780	Nocardioides	scoriae	NA	222
PhoU	A0A6N2D4K6	unreviewed	Phosphate-specific transport system accessory protein PhoU	2026735	Deltaproteobacteria	bacterium	NA	232
PhoU	A0A956JYY9	unreviewed	Phosphate-specific transport system accessory protein PhoU	2026763	Myxococcales	bacterium	NA	229
PhoU	A0A511B2J0	unreviewed	Phosphate-specific transport system accessory protein PhoU	656744	Gluconobacter	wancherniae	NBRC 103581	249
PhoU	A0A832URH8	unreviewed	PhoU domain-containing protein	2756142	Candidatus	Undinarchaeales	archaeon SRR5007147.bin71	261
PhoU	A0A7C5I3A3	unreviewed	Phosphate-specific transport system accessory protein PhoU	2052149	Candidatus	Aminicenantes	bacterium	223
PhoU	A0A925LGL9	unreviewed	Phosphate-specific transport system accessory protein PhoU	2762022	Vallitaleaceae	bacterium	NA	218
PhoU	K1YL30	unreviewed	Phosphate-specific transport system accessory protein PhoU	77133	uncultured	bacterium	NA	224
PhoU	A0A3D9HFH1	unreviewed	Phosphate-specific transport system accessory protein PhoU	1461337	Aestuariispira	insulae	NA	238
PhoU	A0A1R3VW74	unreviewed	Phosphate-specific transport system accessory protein PhoU	233100	Ectothiorhodosinus	mongolicus	NA	241
PhoU	A0A954MTX0	unreviewed	Phosphate-specific transport system accessory protein PhoU	2026779	Planctomycetaceae	bacterium	NA	224
PhoU	A0A1X7H9A5	unreviewed	Phosphate-specific transport system accessory protein PhoU	286727	Azospirillum	oryzae	NA	250
PhoU	A0A101GME7	unreviewed	PhoU domain-containing protein	1641384	Synergistales	bacterium	57_84	343
PhoU	A0A1G4WNA4	unreviewed	Phosphate-specific transport system accessory protein PhoU	258505	Mycolicibacterium	fluoranthenivorans	NA	232
PhoU	A0A1V5V4J1	unreviewed	Phosphate-specific transport system accessory protein PhoU	1852810	Bacteroidetes	bacterium	ADurb.Bin234	224
PhoU	A0A1U9K4V0	unreviewed	Phosphate-specific transport system accessory protein PhoU	1471761	Novibacillus	thermophilus	NA	219
PhoU	A0A7J9XRG9	unreviewed	Phosphate-specific transport system accessory protein PhoU	1873463	Pseudonocardiaceae	bacterium	NA	218
PhoU	A0A5J6V6W7	unreviewed	Phosphate-specific transport system accessory protein PhoU	2593973	Ornithinimicrobium	pratense	NA	233
PhoU	A0A1H0VBP8	unreviewed	Phosphate-specific transport system accessory protein PhoU	930152	Litchfieldia	salsa	NA	219
PhoU	A0A0X2NNM3	unreviewed	PhoU domain-containing protein	1727	Corynebacterium	variabile	NA	245
PhoU	A0A0U2MB11	unreviewed	PhoU domain-containing protein	940295	Ignicoccus	islandicus	DSM 13165	210
PhoU	V5WFJ5	unreviewed	Phosphate-specific transport system accessory protein PhoU	1307761	Salinispira	pacifica	NA	218
PhoU	A0A2H0PEI2	unreviewed	Phosphate-specific transport system accessory protein PhoU	1973975	Deltaproteobacteria	bacterium	CG11_big_fil_rev_8_21_14_0_20_47_16	222
PhoU	U1X4U6	unreviewed	Phosphate-specific transport system accessory protein PhoU	649747	Aneurinibacillus	aneurinilyticus	ATCC 12856	223
PhoU	A0A3A9K5E1	unreviewed	Phosphate-specific transport system accessory protein PhoU	885475	Salipaludibacillus	neizhouensis	NA	219
PhoU	A0A495PT64	unreviewed	Phosphate-specific transport system accessory protein PhoU	270921	Gillisia	mitskevichiae	NA	227
PhoU	W6K695	unreviewed	Phosphate-specific transport system accessory protein PhoU	1288970	Magnetospira	sp.	(strain QH-2)	242
PhoU	A0A354SC66	unreviewed	PhoU domain-containing protein	1883427	Actinomycetes	bacterium	NA	191
PhoU	A0A7C1WGC3	unreviewed	Phosphate-specific transport system accessory protein PhoU	1977087	Pseudomonadota	bacterium	NA	227
PhoU	A0A1H4VIY3	unreviewed	Phosphate-specific transport system accessory protein PhoU	156980	Arthrobacter	woluwensis	NA	220
PhoU	A0A8I1STF4	unreviewed	Phosphate-specific transport system accessory protein PhoU	2026799	Verrucomicrobiota	bacterium	NA	235
PhoU	A0A958PK79	unreviewed	Phosphate-specific transport system accessory protein PhoU	2053517	Bdellovibrionales	bacterium	NA	244
PhoU	A0A1Z8LGN9	unreviewed	Phosphate-specific transport system accessory protein PhoU	1986645	Rhodospirillaceae	bacterium	TMED8	238
PhoU	A0A5Q4EUI9	unreviewed	Phosphate-specific transport system accessory protein PhoU	1913989	Gammaproteobacteria	bacterium	NA	244
PhoU	A0A7V2DFL9	unreviewed	PhoU domain-containing protein	2026735	Deltaproteobacteria	bacterium	NA	211
PhoU	A0A850R171	unreviewed	Phosphate-specific transport system accessory protein PhoU	2675299	Bombilactobacillus	apium	NA	222
PhoU	A0A2D8KE21	unreviewed	PhoU domain-containing protein	2026760	Neomarinimicrobiota	bacterium	NA	224
PhoU	A0A1Z8USV7	unreviewed	Phosphate-specific transport system accessory protein PhoU	1986639	Candidatus	Puniceispirillum	sp. TMED52	234
PhoU	A0A644ZTY1	unreviewed	PhoU domain-containing protein	1076179	bioreactor	metagenome	NA	215
PhoU	A0A936CR10	unreviewed	PhoU domain-containing protein	1869227	bacterium	NA	NA	227
PhoU	A0A1G3LAG7	unreviewed	Phosphate-specific transport system accessory protein PhoU	1802175	Spirochaetes	bacterium	GWB1_48_6	215
PhoU	A0A2H6BC91	unreviewed	PhoU domain-containing protein	1437817	Methylopila	sp.	Yamaguchi	239
PhoU	A0A2E0CLV0	unreviewed	Phosphate-specific transport system accessory protein PhoU	2026782	Porticoccaceae	bacterium	NA	232
PhoU	A0A968YQJ7	unreviewed	Phosphate-specific transport system accessory protein PhoU	2720443	Acaryochloridaceae	cyanobacterium	RU_4_10	219
PitR	A0A0H3K7D8	unreviewed	Uncharacterized protein	426430	Staphylococcus	aureus	(strain Newman)	205
PhoU	A0A0H3K808	unreviewed	Phosphate-specific transport system accessory protein PhoU	426430	Staphylococcus	aureus	(strain Newman)	213
